Opportunity Name,Actual Ship Date,Product Family,Quantity,Site Street,Site City,Site State,Site Zip/Postal Code,Site Country,Industry
Nav Canada - Winnipeg (Visitor),,,1,777 Moray Street,Winnipeg,MB,,R3J 3W8,Aviation
Nav Canada - Winnipeg (Visitor),,,2,777 Moray Street,Winnipeg,MB,,R3J 3W8,Aviation
Nav Canada - Winnipeg (Visitor),,,2,777 Moray Street,Winnipeg,MB,,R3J 3W8,Aviation
Nav Canada - Winnipeg (Visitor),,FSXT,2,777 Moray Street,Winnipeg,MB,,R3J 3W8,Aviation
Justic Center (2011),,PDTT,2,7777 S Camino Huivisim,Tucson,AZ,85757,USA,Criminal Justice
YYC - FSXT (2013),,FSXT,2,7811 - 22ND ST. NE,Calgary,AB,T2E 5T3,Canada,Aviation
Metro Piling - Alpha,11/3/2017,Alpha,1,"7880 Roblin Blvd,",Winnipeg,MB,R4H 1B2,Canada,Commercial/Industrial
Metro Piling - Alpha,11/3/2017,Operator,1,"7880 Roblin Blvd,",Winnipeg,MB,R4H 1B2,Canada,Commercial/Industrial
Country Meat - Alpha,1/30/2017,Alpha,1,79 Penner Dr,Blumenort,MB,R0A 0C0,Canada,Commercial/Industrial
Country Meat - Alpha,1/30/2017,Operator,1,79 Penner Dr,Blumenort,MB,R0A 0C0,Canada,Commercial/Industrial
MB Clinic,,FSXT,1,790 Sherbrook St,Winnipeg,MB,R3E 0L5,Canada,Government Facilities
GT - North Gate Miami (2015),,PDXT,1,800 First Street,Miami Beach,FL,33139,USA,Commercial/Industrial
Zoom Zoom - Roddick Road,,Delta,1,800 Rodick Road,Brampton,ON,L6G 1E4,Canada,Storage Facility
Zoom Zoom - Roddick Road,,Delta,1,800 Rodick Road,Brampton,ON,L6G 1E4,Canada,Storage Facility
"American Water - Hershey, PA (2013)",,FSXT,1,800 W Hersheypark Drive,Hershey,PA,,USA,Water/Hydro Plant
Phil V01,2/23/2018,Fold Hardware,1,8000 Essington Ave,Philadelphia,PA,19153,USA,Aviation
Phil V01,2/23/2018,,2,8000 Essington Ave,Philadelphia,PA,19153,USA,Aviation
Phil V01,2/23/2018,,2,8000 Essington Ave,Philadelphia,PA,19153,USA,Aviation
Phil V01,2/23/2018,,2,8000 Essington Ave,Philadelphia,PA,19153,USA,Aviation
Phil V01,2/23/2018,PDXT,2,8000 Essington Ave,Philadelphia,PA,19153,USA,Aviation
Markham - 8100 Warden Ave,8/14/2020,Operator Hardware,2,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Heras Hardware,1,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Access CONrol Accessories,1,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Heras Hardware,1,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Pedestrian Gate,1,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Pedestrian Gate,1,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Heras Hardware,1,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Access CONrol Accessories,2,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Alpha,1,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Operator,1,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
Markham - 8100 Warden Ave,8/14/2020,Heras Hardware,1,8100 Warden Ave,Unionville,ON,L6G 1B4,Canada,Commercial/Industrial
City of Arvanda Police Station,,FSXT,1,8101 Ralston Rd,Arvada,CO,80002,USA,Police
Hermiston,11/22/2019,Access CONrol Accessories,8,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,PDXT,4,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,PDXT,4,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,Fold Hardware,2,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,Fold Hardware,1,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,,4,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,,4,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,,1,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,Operator Parts,8,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,Gate Hardware,4,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
Hermiston,11/22/2019,Fold Hardware,8,81252 North Hway 395,Hermiston,OR,97838,USA,Data Center
IAD 90,3/16/2018,Access CONrol Accessories,2,8194 Euclid Ct,Manassas Park,VA,,USA,Fulfillment Centers
IAD 90,3/16/2018,Fold Hardware,1,8194 Euclid Ct,Manassas Park,VA,,USA,Fulfillment Centers
IAD 90,3/16/2018,PDXT,2,8194 Euclid Ct,Manassas Park,VA,,USA,Fulfillment Centers
IAD 90,3/16/2018,Fold Hardware,2,8194 Euclid Ct,Manassas Park,VA,,USA,Fulfillment Centers
BC Hydro-Surrey,,PDXT,1,82 Ave,Surrey,BC,V4N 0A8,Canada,Water/Hydro Plant
BC Hydro-Surrey,,Delta,1,82 Ave,Surrey,BC,V4N 0A8,Canada,Water/Hydro Plant
Niagara Falls Bus Facility (2013),,Delta,2,8208 Kalar Rd,Niagara Falls,ON,L2E6S5,Canada,Public Transportation
Franklin Police Headquarters (2009),,PDXT,2,828 ColuMBia Ave,Franklin,TN,37064,USA,Police
CFB Borden,,Delta,3,83 Lundy Lane,Borden,ON,L0M 1C0,Canada,Military/Navy
StorageVille - Delta,12/22/2017,Delta,1,830 Waverley St,Winnipeg,MB,R3T 5Z7,Canada,Storage Facility
Welded wire-120887,8/13/2019,Single Wire Welded Wire,30,831 Cree Road,Thompson,MB,R8N1R8,Canada,Trucking
Bramalea - Milton Project,,Alpha,2,8350 Lawson Road,Milton,ON,L9T 0A4,Canada,Commercial/Industrial
Huck Marine Storage Facility,10/4/2017,Delta,1,848 Thousand Islands Parkway,Mallorytown,ON,K0E 1R0,Canada,Storage Facility
Huck Marine Storage Facility,10/4/2017,,8,848 Thousand Islands Parkway,Mallorytown,ON,K0E 1R0,Canada,Storage Facility
Hamilton Police Service Building,5/8/2020,Delta,1,85 Mary Street,Hamilton,ON,,Canada,Criminal Justice
Hamilton Police Service Building,5/8/2020,FSXT,1,85 Mary Street,Hamilton,ON,,Canada,Criminal Justice
In Storage - Ajax,,Delta,1,85 Westney Road,Ajax,ON,L1S 2C9,Canada,Storage Facility
Fairfax Public Safety HQ,9/23/2016,PDXT,1,8545 Edgeworth Drive,Capital Heights,MD,20743,USA,Police
Fairfax Public Safety HQ,9/23/2016,PDXT,1,8545 Edgeworth Drive,Capital Heights,MD,20743,USA,Police
Fairfax Public Safety HQ,9/23/2016,,1,8545 Edgeworth Drive,Capital Heights,MD,20743,USA,Police
Fairfax Public Safety HQ,9/23/2016,,2,8545 Edgeworth Drive,Capital Heights,MD,20743,USA,Police
All Pro - Burlington,,FSXT,2,860 CuMBerland Drive,Burlington,ON,R3B 2T1,Canada,Storage Facility
Houston Police - Gessner,,Delta,2,8610 Westplace,Houston,TX,77071,USA,Police
Houston Police - Gessner,,Operator,2,8610 Westplace,Houston,TX,77071,USA,Police
Houston Police - Gessner,,Heras Hardware,2,8610 Westplace,Houston,TX,77071,USA,Police
"Air Tanker Base, Edson",9/16/2014,Alpha,1,8625 63rd Ave NW,EdmONon,AB,T6E0E8,Canada,Aviation
P.S. Surrey (Scott),,Delta,1,"8654 120 St,",Surrey,BC,V3W 3N6,Canada,Storage Facility
Burlington Wastewater Technology Centre,,FSXT,1,867 Lakeshore Rd,Burlington,ON,L7T 3M3,Canada,WWTP
Hydro-One Guelph,,Alpha,1,871 Southgate Drive,Guelph,ON,N1L 0B9,Canada,Water/Hydro Plant
Philadelphia Airport Gate 8,2/19/2013,PDXT,2,8800 Essington Ave,Philadelphia,PA,19153,USA,Aviation
ParkNFly FSXT,,FSXT,3,881 Berry Street,Winnipeg,MB,R3H 0S7,Canada,Commercial/Industrial
P.S. Calgary - Harvest Hills,3/16/2018,Operator Parts,2,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
P.S. Calgary - Harvest Hills,3/16/2018,Heras Hardware,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
P.S. Calgary - Harvest Hills,3/16/2018,Heras Hardware,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
P.S. Calgary - Harvest Hills,3/16/2018,Delta,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
P.S. Calgary - Harvest Hills,3/16/2018,Operator,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
"Public Storage Country Hills Blvd, Calgary",4/22/2019,Heras Hardware,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
"Public Storage Country Hills Blvd, Calgary",4/22/2019,Operator Parts,2,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
"Public Storage Country Hills Blvd, Calgary",4/22/2019,Heras Hardware,2,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
"Public Storage Country Hills Blvd, Calgary",4/22/2019,Heras Hardware,2,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
"Public Storage Country Hills Blvd, Calgary",4/22/2019,Heras Hardware,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
"Public Storage Country Hills Blvd, Calgary",4/22/2019,Heras Hardware,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
"Public Storage Country Hills Blvd, Calgary",4/22/2019,Heras Hardware,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
"Public Storage Country Hills Blvd, Calgary",4/22/2019,Delta,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
"Public Storage Country Hills Blvd, Calgary",4/22/2019,Operator,1,90 Country Hills Landing NW,Calgary,AB,T3K 5P3,Canada,Storage Facility
rampart- rental,8/15/2019,Secure Welded Wire,1,90 Lexington Park,Winnipeg,MB,R2G4H2,Canada,Commercial/Industrial
B Rocke Landscaping - Welded Wire,3/6/2019,Double Wire Welded Wire,1,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Heras Hardware,3,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Operator Parts,6,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Heras Hardware,3,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Heras Hardware,3,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,,6,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Access CONrol Accessories,2,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Access CONrol Accessories,4,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Alpha,1,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Alpha,2,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Operator,1,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Bunge Corporation - Alpha Gates,8/9/2019,Operator,2,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
COW Transit Bus Garage,,Double Wire Welded Wire,6,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Public Transportation
Mr. Clean Up,4/29/2019,Fence Hardware,20,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Landscape (Fencing)
Mr. Clean Up,4/29/2019,Double Wire Welded Wire,6,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Landscape (Fencing)
Mr. Clean Up,4/29/2019,Fence Hardware,50,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Landscape (Fencing)
Tag: Lux @ Tux Panels,,Double Wire Welded Wire,11,90 Lowson Cres.,Winnipeg,MB,R3P2H8,Canada,Commercial/Industrial
Ogden City FSXT - Sunrise Engineering,,FSXT,1,"900 Ogden Canyon, State Road 39",Ogden,UT,84401,USA,Water/Hydro Plant
Ogden City FSXT - Sunrise Engineering,,,1,"900 Ogden Canyon, State Road 39",Ogden,UT,84401,USA,Water/Hydro Plant
Gateworks - Landtran,11/3/2017,Alpha,1,"9011 50 St NW,",EdmONon,AB,T6B 2Y2,Canada,Trucking
Gateworks - Landtran,11/3/2017,Operator,1,"9011 50 St NW,",EdmONon,AB,T6B 2Y2,Canada,Trucking
P.S - Scarborough,,Delta,1,91 Dynamic Drive,Scaborough,ON,M1V 2V1,Canada,Storage Facility
"PS - ON, DupON St",,Delta,1,914 DupON street,ON,ON,M6H 1Z2,Canada,Storage Facility
Janco Steel,,Delta,2,925 Arvin Ave,Stoney Creek,ON,L8E 5N9,Canada,Commercial/Industrial
Janco Steel,,FSXT,1,925 Arvin Ave,Stoney Creek,ON,L8E 5N9,Canada,Commercial/Industrial
Janco Steel,,Delta,1,925 Arvin Ave,Stoney Creek,ON,L8E 5N9,Canada,Commercial/Industrial
North West - Alphas,,Alpha,1,927 Alloy Drive,Thunder Bay,ON,P7B 5Z8,Canada,Commercial/Industrial
North West - Alphas,,Alpha,1,927 Alloy Drive,Thunder Bay,ON,P7B 5Z8,Canada,Commercial/Industrial
North West - Alphas,,Operator,2,927 Alloy Drive,Thunder Bay,ON,P7B 5Z8,Canada,Commercial/Industrial
City of Calgary- Spring Garden,12/7/2018,Operator Parts,2,928 - 32 Avenue N.E.,Calgary,AB,,Canada,Public Transportation
City of Calgary- Spring Garden,12/7/2018,Heras Hardware,1,928 - 32 Avenue N.E.,Calgary,AB,,Canada,Public Transportation
City of Calgary- Spring Garden,12/7/2018,Heras Hardware,1,928 - 32 Avenue N.E.,Calgary,AB,,Canada,Public Transportation
City of Calgary- Spring Garden,12/7/2018,Alpha,1,928 - 32 Avenue N.E.,Calgary,AB,,Canada,Public Transportation
City of Calgary- Spring Garden,12/7/2018,Operator,1,928 - 32 Avenue N.E.,Calgary,AB,,Canada,Public Transportation
Purolator - Hamilton Airport Replacement Gate,9/12/2018,,1,9300 Airport Rd,Hamilton,ON,,Canada,Trucking
Purolator - Hamilton Airport Replacement Gate,9/12/2018,Alpha,1,9300 Airport Rd,Hamilton,ON,,Canada,Trucking
Jetport Inc. Alpha gate,,Alpha,1,9300 Airport Road,Mount Hope,ON,L0R 1W0,Canada,Aviation
Hamilton Airport - Gate 20/8,,Alpha,1,"9300 Airport Road, #2206,",Mount Hope,ON,L0R 1W0,Canada,Aviation
Hamilton Airport - Gate 6,,Alpha,1,"9300 Airport Road, #2206,",Mount Hope,ON,L0R 1W0,Canada,Aviation
Hamilton Airport - Gate A 2011,,Alpha,1,"9300 Airport Road, #2206,",Mount Hope,ON,L0R 1W0,Canada,Aviation
Adelanto Detention Center Expansion,2/12/2013,PDTT,4,9438 Commerce Way,Adelanto,CA,92301,USA,Prison/Jail
"P.S. - MONreal, 9445 Rue Jean Pratt",,Delta,1,9445 Rue Jean Pratt,MONreal,ON,H4N 2W7,Canada,Storage Facility
Epcor Rossdale,5/12/2017,Pedestrian Gate,1,9469 Rossdale Rd NW,EdmONon,AB,T5K 3B1,Canada,Power Utility & Substation
Epcor Rossdale,5/12/2017,FSXT,1,9469 Rossdale Rd NW,EdmONon,AB,T5K 3B1,Canada,Power Utility & Substation
Epcor Rossdale,5/12/2017,FSXT,1,9469 Rossdale Rd NW,EdmONon,AB,T5K 3B1,Canada,Power Utility & Substation
Epcor Rossdale,5/12/2017,PDXT,2,9469 Rossdale Rd NW,EdmONon,AB,T5K 3B1,Canada,Power Utility & Substation
FedEx APD-2,,Alpha,1,949 Bob Arnold Blvd.,Lithia Springs,GA,,USA,Fulfillment Centers
FedEx APD-2,,Operator,1,949 Bob Arnold Blvd.,Lithia Springs,GA,,USA,Fulfillment Centers
MNR - Dryden Fire Management Centre,,Alpha,1,95 Ghost Lake Road,Dryden,ON,P8N 2Z5,Canada,Government Facilities
DHL - Markham,,Delta,1,95 Micro CT,Markham,ON,L3R 5N1,Canada,Trucking
Will County Dentention -,,PDTT,4,95 S Chicago St,Joliet,IL,60436,USA,Criminal Justice
Manitoulin - Calgary,,PDXT,1,9500 Venture Ave SE,Calgary,AB,T3S 0A1,Canada,Trucking
"P.S - Laval, 955 autoroute",,Delta,1,955 autoroute chomedey,Laval,QC,H7W 4V3,Canada,Storage Facility
Kamloops Water Treatment Plant (2013),,Alpha,1,955 Concordia Way,Kamloops,BC,V2C 6V3,Canada,WWTP
Nav Canada - MONreal,6/30/2017,FSXT,1,975 Roméo-Vachon Blvd. North,Dorval,QC,H4Y 1H1,Canada,Aviation
ICE West - Delta (2015),11/18/2015,Delta,1,9765-54th Street S.E.,Calgary,AB,T2C 5J6,Canada,Commercial/Industrial
Delta Airlines (2009),,PDXT,1,980 Virgina Ave,Atlanta,GA,30320,USA,Aviation
Delta Airlines (2009),,PDXT,1,980 Virgina Ave,Atlanta,GA,30320,USA,Aviation
Kamloops - Delta,,Delta,2,995 Concordia Way,Kamloops,BC,V2C 6V3,Canada,Commercial/Industrial
Sama Brasil Comercio Internacional Ltda,2/28/2017,FSXT,2,"Al. Lorena 800, conjunto 1003",Jardim Paulista,São Paulo,01424-001,Brasil,Commercial/Industrial
GoTransit- Streetsville (2013),10/11/2013,PDXT,1,Alpha Mills Rd,Mississauga,ON,L5N 1A7,Canada,Public Transportation
MX - Oaxaca Spare Parts,,,1,Av. Beethoven No. 5330,MX,,,MX,
MX - Oaxaca Spare Parts,,,1,Av. Beethoven No. 5330,MX,,,MX,
MX - Oaxaca Spare Parts,,,1,Av. Beethoven No. 5330,MX,,,MX,
MX - Banco de MX,,Pedestrian Gate,1,Ave. 5 de Mayo 2 Centro,MX,MX,6059,MX,Commercial/Industrial
MX - Banco de MX,,PDTT,1,Ave. 5 de Mayo 2 Centro,MX,MX,6059,MX,Commercial/Industrial
Harris County New Processing Facility,2/2/2018,PDTT,2,Baker Street,Houston,TX,77002,USA,Police
Harris County New Processing Facility,2/2/2018,Fold Hardware,1,Baker Street,Houston,TX,77002,USA,Police
Harris County New Processing Facility,2/2/2018,Fold Hardware,2,Baker Street,Houston,TX,77002,USA,Police
Harris County New Processing Facility,2/2/2018,Fold Hardware,2,Baker Street,Houston,TX,77002,USA,Police
"FedEx Freight - Northborough, MA",,PDXT,2,Bartlett St,Northborough,MA,,USA,Trucking
Banco de MX - Project #4,3/10/2016,PDTT,2,Beethoven #5330 Col. La Estancia,Zapopan,MX,45030,MX,Government Facilities
Banco de MX - Project #4,3/10/2016,PDTT,2,Beethoven #5330 Col. La Estancia,Zapopan,MX,45030,MX,Government Facilities
Beeton Wastewater Treatment Plant (2013),,Delta,1,Beeton Town Line.,Beeton,ON,,Canada,Water/Hydro Plant
Beeton Wastewater Treatment Plant (2013),,Delta,1,Beeton Town Line.,Beeton,ON,,Canada,Water/Hydro Plant
San Gold - Alpha,,Alpha,1,Box 1000,Bissett,MB,R0E 0J0,Canada,Commercial/Industrial
Gateworks -alphas,,Alpha,2,"Box 12, Site 8",Okotoks,AB,T1S 1A2,Canada,Commercial/Industrial
IAD 88,5/13/2016,PDXT,2,Bryant Ct. Drive,Sterling,VA,20166,USA,Fulfillment Centers
Sarnia FSXT,,FSXT,1,Clifford Street & Vidal Street S.,Sarnia,ON,N7T 8C4,Canada,PetroChemical
Imperial Oil - Nanticoke,6/27/2017,FSXT,2,Concession 2 Wapole,Naticoke,ON,N0A 1L0,Canada,PetroChemical
Chudd's Chrysler - Delta,,Delta,2,Corner Of Prov. Rd. 231 & Hwy 8,"Gimli,",MB,R0C1B0,Canada,Commercial/Industrial
Banco de MX - Project 5,1/30/2017,Access CONrol Accessories,2,"Cuauhtémoc 32, Arenal 1ra Secc",MX,MX,6059,MX,Government Facilities
Banco de MX - Project 5,1/30/2017,,1,"Cuauhtémoc 32, Arenal 1ra Secc",MX,MX,6059,MX,Government Facilities
Banco de MX - Project 5,1/30/2017,PDTT,2,"Cuauhtémoc 32, Arenal 1ra Secc",MX,MX,6059,MX,Government Facilities
"EMBassy project in Port Moresby, PNG",6/19/2020,Heras Hardware,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,Heras Hardware,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,PDXT,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,Fold Hardware,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,Heras Hardware,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,,6,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,Delta,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,Operator,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,Fold Hardware,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,Heras Hardware,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
"EMBassy project in Port Moresby, PNG",6/19/2020,Fold Hardware,1,"DOUGLAS STREET, PO BOX 142",Port Moresby,Papua New Guinea,,New Guinea,Sea Port
Pitt Ohio (2014),,FSXT,1,Fr 910 & Rich Hill Road,Harmar,PA,15024,USA,Commercial/Industrial
Pitt Ohio (2014),,Alpha,1,Fr 910 & Rich Hill Road,Harmar,PA,15024,USA,Commercial/Industrial
Pitt Ohio (2014),,Alpha,2,Fr 910 & Rich Hill Road,Harmar,PA,15024,USA,Commercial/Industrial
YVR - Gate 895,,Alpha,1,Gate 895 off Coast Guard Road S. Airport,Richmond,BC,V7B 1Y7,Canada,Aviation
YVR - Gate 895,,Operator,1,Gate 895 off Coast Guard Road S. Airport,Richmond,BC,V7B 1Y7,Canada,Aviation
Mattabi Mine - Delta,,Delta,1,GTP Block 7 Township,Kenora,ON,,Canada,Commercial/Industrial
City of Winnipeg - Pumping Station,,Alpha,1,Hillock Ave,Winnipeg,MB,,Canada,Commercial/Industrial
CFB Dundurn,,Delta,2,Military Head Quarter,Dundurn,SK,S0K 1K0,Canada,Military/Navy
Houston Police - BLT Tech (2013),,PDXT,5,Mykawa Rd North,Houston,TX,77375,USA,Police
SFO 8 Gate project,,PDXT,8,Off Hwy 101,San Francisco,CA,94128,USA,Aviation
SFO 8 Gate project,,,5,Off Hwy 101,San Francisco,CA,94128,USA,Aviation
AMGEN Thousand Oaks Campus Phase 1,6/29/2018,Access CONrol Accessories,3,One Amgen Center Drive,Thousand Oaks,CA,91320,USA,Commercial/Industrial
AMGEN Thousand Oaks Campus Phase 1,6/29/2018,Fold Hardware,1,One Amgen Center Drive,Thousand Oaks,CA,91320,USA,Commercial/Industrial
AMGEN Thousand Oaks Campus Phase 1,6/29/2018,PDXT,3,One Amgen Center Drive,Thousand Oaks,CA,91320,USA,Commercial/Industrial
AMGEN Thousand Oaks Campus Phase 1,6/29/2018,Fold Hardware,3,One Amgen Center Drive,Thousand Oaks,CA,91320,USA,Commercial/Industrial
MONerey Salinas Transit,1/19/2018,PDXT,2,One Ryan Ranch Road,MONerey Salinas,CA,,USA,Public Transportation
MB Hydro - Gillam,,Delta,1,PO Box 36,Gillam,MB,R0B 0L0,Canada,Water/Hydro Plant
MB Hydro - Gillam,,Operator,1,PO Box 36,Gillam,MB,R0B 0L0,Canada,Water/Hydro Plant
Keephills,5/19/2017,Alpha,2,Range Rd 40,Kapasiwin,AB,T0E 2Y0,Canada,Power Utility & Substation
Keephills,5/19/2017,Operator,2,Range Rd 40,Kapasiwin,AB,T0E 2Y0,Canada,Power Utility & Substation
"FedEx Freight - Corpus Christi, TX",,PDXT,2,South Navigation Blvd,Corpus Christi,TX,78405,USA,Trucking
Grande Prairie Airport - Delta,,Delta,1,"Suite 220, 10610 Airport Drive T8V 7Z5",Grande Prairie,AB,T8V 7Z5,Canada,Aviation
PeMBina Logistics,8/29/2017,Alpha,1,"Suite 507, 201 North FrON Street",Sarnia,ON,N7T 7T9,Canada,PetroChemical
PeMBina Logistics,8/29/2017,Operator,1,"Suite 507, 201 North FrON Street",Sarnia,ON,N7T 7T9,Canada,PetroChemical
"P.S. - Laval, Tessier Blvd",,Delta,1,Tessier 3015 Blvd,Laval,QC,H7S 2M1,Canada,Storage Facility
Google Portland,3/24/2017,Fold Hardware,1,"Wells Fargo Building, 309 SW 6th Ave",Portland,OR,97204,USA,Data Center
Google Portland,3/24/2017,PDXT,3,"Wells Fargo Building, 309 SW 6th Ave",Portland,OR,97204,USA,Data Center
Google Portland,3/24/2017,Fold Hardware,3,"Wells Fargo Building, 309 SW 6th Ave",Portland,OR,97204,USA,Data Center
New Westminster Tow Yard,10/18/2019,Heras Hardware,1,Wood St,New Westminster,BC,,Canada,Commercial/Industrial
New Westminster Tow Yard,10/18/2019,Operator Parts,2,Wood St,New Westminster,BC,,Canada,Commercial/Industrial
New Westminster Tow Yard,10/18/2019,Heras Hardware,1,Wood St,New Westminster,BC,,Canada,Commercial/Industrial
New Westminster Tow Yard,10/18/2019,Access CONrol Accessories,2,Wood St,New Westminster,BC,,Canada,Commercial/Industrial
New Westminster Tow Yard,10/18/2019,Alpha,1,Wood St,New Westminster,BC,,Canada,Commercial/Industrial
New Westminster Tow Yard,10/18/2019,Operator,1,Wood St,New Westminster,BC,,Canada,Commercial/Industrial
10' Delta,,Delta,1,,,,,,
10th Ave Marine Terminal,5/25/2018,,2,,San Diego,CA,,USA,Sea Port
10th Ave Marine Terminal,5/25/2018,FSXT,2,,San Diego,CA,,USA,Sea Port
